SAL_ID,Biomarker_Name,Biomarker_Type,Sampling_Method,Collection_Method,Analysis_Method,Collection_site,Disease_Category,Disease_name,Disease_subtype,Fold_Change,Regulation,Exosomal/Non-exosomal,Organism,PMID,Year_of_Publication,ID,Biomarker,Sequence
SAL_20055,Treponema denticola,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,158,Microbe,NC_002967.9
SAL_20056,Aggregatibacter actinomycetemcomitans,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,714,Microbe,NZ_CP085091.1
SAL_20057,Bacteroides forsythus,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,816,Microbe,NZ_JAFBJK000000000.1
SAL_20058,Porphyromonas gingivalis,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,837,Microbe,NC_002950.2
SAL_20059,Prevotella intermedia,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,28131,Microbe,NG_047636.1
SAL_20060,Prevotella nigrescens,NA,Age (16-83),Approximately 1 ml of expectorated whole saliva from each individual was collected in a sterile plastic tube.,16S rRNA-based PCR detection,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,9706862,1998,28133,Microbe,NZ_CP072342.1
SAL_20061,Neisseria flavescens,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,484,Microbe,NZ_CP039886.1
SAL_20062,Actinobacillus pleuropneumoniae,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,715,Microbe,NZ_KT355773.1
SAL_20063,Haemophilus paraphrophilus,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,724,Microbe,NC_005329.1
SAL_20064,Haemophilus influenzae,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,727,Microbe,NZ_CP017811.1
